id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
154549,Female,67,1,28,0,> 2 Years,Yes,34755,26,281,1
154555,Female,23,1,45,0,< 1 Year,Yes,39988,152,55,1
154566,Female,38,1,11,0,1-2 Year,Yes,54989,124,103,1
154570,Female,46,1,28,0,1-2 Year,Yes,20873,124,206,1
154580,Female,49,1,8,0,1-2 Year,Yes,28931,26,279,1
154591,Male,59,1,41,0,> 2 Years,Yes,43716,124,259,1
154599,Male,36,1,23,0,1-2 Year,Yes,22201,124,256,1
154600,Male,31,1,29,0,< 1 Year,Yes,36350,124,132,1
154607,Female,21,1,43,0,1-2 Year,Yes,33156,26,197,1
154609,Male,51,1,28,0,1-2 Year,Yes,61252,157,100,1
154614,Male,50,1,46,0,1-2 Year,Yes,2630,26,73,1
154630,Male,48,1,28,0,> 2 Years,Yes,58200,124,150,1
154632,Female,37,1,36,0,1-2 Year,Yes,21593,155,180,1
154635,Female,28,1,12,0,< 1 Year,Yes,26207,152,284,1
154638,Male,20,1,15,0,< 1 Year,Yes,29974,160,118,1
154641,Male,33,1,8,0,1-2 Year,Yes,32425,26,255,1
154649,Male,33,1,2,0,< 1 Year,Yes,24258,152,293,1
154660,Male,41,1,5,0,1-2 Year,Yes,2630,26,220,1
154662,Male,44,1,19,0,1-2 Year,Yes,2630,122,165,1
154680,Male,33,1,28,0,1-2 Year,Yes,39479,154,266,1
154696,Female,30,1,30,0,< 1 Year,Yes,21572,152,179,1
154710,Male,43,1,8,0,1-2 Year,No,48818,156,23,1
154724,Female,36,1,46,0,1-2 Year,Yes,37575,26,128,1
154749,Male,32,1,28,0,< 1 Year,Yes,48249,124,15,1
154751,Male,48,1,3,0,1-2 Year,Yes,2630,157,180,1
154765,Male,47,1,28,0,> 2 Years,Yes,104290,26,214,1
154779,Male,52,1,28,0,1-2 Year,Yes,2630,26,129,1
154796,Male,24,1,15,0,< 1 Year,Yes,35517,152,210,1
154802,Male,54,1,28,0,1-2 Year,Yes,36419,124,297,1
154804,Male,56,1,21,0,1-2 Year,Yes,27006,26,133,1
154805,Female,35,1,26,0,1-2 Year,Yes,2630,157,224,1
154808,Female,33,1,28,0,1-2 Year,Yes,30561,122,150,1
154815,Male,28,1,41,0,< 1 Year,Yes,2630,157,17,1
154833,Female,47,1,28,0,1-2 Year,Yes,30762,124,32,1
154837,Female,44,1,30,0,1-2 Year,Yes,2630,124,89,1
154839,Male,77,1,28,0,1-2 Year,Yes,44369,122,288,1
154855,Female,33,1,28,0,< 1 Year,Yes,44201,125,71,1
154869,Male,48,1,41,0,> 2 Years,Yes,43636,26,114,1
154880,Male,62,1,28,0,> 2 Years,Yes,43127,26,143,1
154881,Female,43,1,20,0,1-2 Year,Yes,2630,26,137,1
154889,Male,70,1,46,0,1-2 Year,Yes,26913,124,102,1
154897,Female,41,1,45,0,1-2 Year,Yes,37213,26,109,1
154905,Male,35,1,28,0,1-2 Year,Yes,41380,156,29,1
154935,Female,43,1,28,0,1-2 Year,Yes,36044,124,59,1
154942,Female,40,1,45,0,1-2 Year,Yes,24944,124,269,1
154960,Male,37,1,28,0,1-2 Year,Yes,2630,156,292,1
154966,Female,35,1,28,0,1-2 Year,Yes,47163,124,58,1
154978,Male,48,1,41,0,1-2 Year,Yes,32087,26,35,1
154981,Female,25,1,41,0,< 1 Year,Yes,25173,152,292,1
154985,Male,61,1,41,0,1-2 Year,Yes,22024,157,87,1
154989,Male,27,1,28,0,< 1 Year,Yes,71651,163,253,1
154990,Male,24,1,37,0,< 1 Year,Yes,31420,152,105,1
154998,Male,37,1,28,0,1-2 Year,Yes,35136,124,184,1
155006,Male,58,1,28,0,1-2 Year,Yes,34945,26,73,1
155016,Female,29,1,3,0,< 1 Year,Yes,22977,152,39,1
155022,Male,66,1,41,0,1-2 Year,Yes,47235,124,251,1
155029,Male,30,1,28,0,< 1 Year,Yes,2630,124,107,1
155032,Female,39,1,28,0,1-2 Year,Yes,30903,122,276,1
155057,Male,46,1,33,0,1-2 Year,Yes,26123,124,222,1
155060,Male,35,1,30,0,1-2 Year,Yes,20586,26,84,1
155062,Male,24,1,7,0,< 1 Year,Yes,2630,152,114,1
155067,Male,35,1,28,0,1-2 Year,Yes,49178,26,83,1
155078,Female,45,1,8,0,1-2 Year,Yes,37663,124,167,1
155079,Male,42,1,3,0,> 2 Years,Yes,2630,124,264,1
155087,Male,49,1,23,0,1-2 Year,Yes,2630,124,101,1
155095,Female,49,1,33,0,> 2 Years,Yes,37112,26,153,1
155096,Female,56,1,28,0,1-2 Year,Yes,32810,26,179,1
155107,Male,48,1,28,0,1-2 Year,Yes,32151,124,23,1
155110,Female,49,1,28,0,1-2 Year,Yes,32100,26,120,1
155114,Male,57,1,28,0,1-2 Year,Yes,2630,26,187,1
155127,Female,23,1,28,0,< 1 Year,Yes,2630,26,291,1
155144,Male,73,1,28,0,1-2 Year,Yes,49170,122,53,1
155149,Male,61,1,0,0,1-2 Year,Yes,2630,26,16,1
155150,Male,22,1,2,0,< 1 Year,Yes,37355,152,29,1
155151,Female,22,1,28,0,< 1 Year,Yes,48409,152,44,1
155154,Female,46,1,46,0,1-2 Year,Yes,22846,124,165,1
155157,Female,22,1,21,0,< 1 Year,Yes,2630,152,277,1
155172,Male,49,1,28,0,1-2 Year,Yes,46889,26,164,1
155178,Male,31,1,30,0,1-2 Year,Yes,24202,154,116,1
155190,Female,49,1,28,0,> 2 Years,Yes,43398,26,223,1
155224,Male,36,1,33,0,1-2 Year,Yes,27664,124,52,1
155245,Male,58,1,28,0,1-2 Year,No,47689,26,285,1
155252,Female,21,1,32,0,< 1 Year,No,31294,160,152,1
155265,Female,21,1,28,0,< 1 Year,Yes,2630,157,170,1
155268,Male,35,1,6,0,1-2 Year,Yes,26130,154,287,1
155276,Male,28,1,29,0,1-2 Year,Yes,26323,157,133,1
155281,Male,35,1,28,0,1-2 Year,Yes,26216,26,80,1
155290,Male,40,1,33,0,1-2 Year,Yes,2630,157,227,1
155293,Male,40,1,11,0,1-2 Year,Yes,34953,154,200,1
155304,Female,71,1,28,0,1-2 Year,Yes,46787,26,151,1
155307,Male,40,1,28,0,1-2 Year,Yes,73040,26,191,1
155321,Female,80,1,28,0,1-2 Year,Yes,39495,26,200,1
155343,Male,42,1,8,0,1-2 Year,Yes,42771,26,218,1
155352,Male,51,1,41,0,> 2 Years,Yes,37628,124,241,1
155362,Male,23,1,36,0,< 1 Year,Yes,26921,151,108,1
155363,Male,69,1,11,0,> 2 Years,Yes,2630,120,86,1
155376,Male,39,1,8,0,> 2 Years,Yes,51465,124,126,1
155386,Female,72,1,47,0,1-2 Year,Yes,37846,8,98,1
155387,Male,43,1,29,0,1-2 Year,Yes,2630,26,100,1
155402,Male,43,1,28,0,1-2 Year,Yes,31797,26,210,1
155413,Male,26,1,8,0,< 1 Year,Yes,29404,160,13,1
155418,Male,47,1,11,0,1-2 Year,Yes,32551,124,92,1
155425,Male,43,1,19,0,1-2 Year,Yes,36707,26,245,1
155430,Male,26,1,47,0,< 1 Year,Yes,32756,152,119,1
155435,Male,51,1,35,0,1-2 Year,Yes,50341,26,119,1
155445,Male,48,1,28,0,> 2 Years,Yes,45161,122,267,1
155454,Male,41,1,28,0,1-2 Year,Yes,45153,26,209,1
155457,Female,24,1,15,0,< 1 Year,No,35732,152,215,1
155458,Female,46,1,28,0,> 2 Years,Yes,53192,26,296,1
155461,Female,61,1,28,0,> 2 Years,Yes,35519,26,16,1
155465,Female,23,1,6,0,< 1 Year,Yes,22686,152,92,1
155468,Male,36,1,11,0,1-2 Year,Yes,2630,124,190,1
155469,Female,57,1,28,0,> 2 Years,Yes,2630,26,91,1
155478,Female,23,1,28,0,< 1 Year,Yes,89090,122,97,1
155480,Male,56,1,28,0,1-2 Year,Yes,57286,26,17,1
155487,Male,34,1,41,0,1-2 Year,Yes,27799,124,278,1
155489,Male,40,1,28,0,1-2 Year,Yes,34596,30,254,1
155496,Male,50,1,33,0,1-2 Year,Yes,28979,163,295,1
155534,Male,40,1,28,0,1-2 Year,Yes,48636,124,120,1
155557,Male,49,1,28,0,1-2 Year,Yes,43687,124,255,1
155576,Male,46,1,28,0,1-2 Year,Yes,41516,26,209,1
155584,Male,40,1,28,0,1-2 Year,Yes,43886,124,118,1
155596,Female,54,1,46,0,> 2 Years,Yes,2630,26,289,1
155597,Female,31,1,28,0,< 1 Year,Yes,38708,152,96,1
155602,Male,44,1,41,0,1-2 Year,Yes,37382,124,208,1
155633,Male,67,1,28,0,> 2 Years,Yes,51691,26,49,1
155656,Male,23,1,40,0,< 1 Year,Yes,35625,152,144,1
155664,Male,48,1,48,0,1-2 Year,Yes,2630,26,286,1
155679,Female,39,1,8,0,1-2 Year,Yes,34921,124,102,1
155684,Male,26,1,41,0,< 1 Year,Yes,31271,124,48,1
155718,Male,47,1,28,0,1-2 Year,Yes,44016,26,199,1
155723,Female,37,1,38,0,1-2 Year,Yes,39545,124,266,1
155734,Female,34,1,28,0,1-2 Year,Yes,28293,26,246,1
155741,Male,39,1,35,0,1-2 Year,Yes,36392,124,140,1
155747,Female,40,1,8,0,1-2 Year,Yes,34438,124,228,1
155748,Female,76,1,43,0,1-2 Year,Yes,31532,26,113,1
155750,Male,57,1,28,0,1-2 Year,Yes,47721,26,258,1
155753,Male,55,1,46,0,1-2 Year,Yes,41488,124,59,1
155754,Male,20,1,3,1,< 1 Year,Yes,2630,1,75,1
155757,Male,44,1,41,0,1-2 Year,Yes,2630,124,283,1
155764,Male,33,1,28,0,1-2 Year,Yes,43306,26,124,1
155778,Male,28,1,28,0,1-2 Year,Yes,39134,124,149,1
155795,Male,53,1,14,0,1-2 Year,Yes,35085,124,170,1
155803,Female,45,1,28,0,1-2 Year,Yes,47836,26,174,1
155821,Female,23,1,28,0,< 1 Year,Yes,38316,154,279,1
155828,Female,52,1,28,0,1-2 Year,Yes,2630,124,103,1
155842,Female,35,1,28,0,1-2 Year,Yes,32769,124,77,1
155851,Male,57,1,28,0,> 2 Years,Yes,75503,26,271,1
155859,Male,61,1,35,0,> 2 Years,Yes,2630,26,147,1
155865,Male,40,1,8,0,1-2 Year,Yes,2630,26,93,1
155867,Male,41,1,28,0,1-2 Year,Yes,46174,124,19,1
155871,Male,49,1,30,0,1-2 Year,Yes,16401,26,50,1
155873,Female,48,1,28,0,1-2 Year,Yes,42563,55,104,1
155876,Male,45,1,28,0,1-2 Year,Yes,29364,124,268,1
155880,Female,40,1,29,0,1-2 Year,Yes,33903,26,137,1
155889,Female,34,1,30,0,1-2 Year,Yes,26399,154,90,1
155894,Male,41,1,11,0,1-2 Year,Yes,36658,163,111,1
155895,Male,47,1,48,0,1-2 Year,Yes,2630,15,299,1
155909,Male,36,1,28,0,1-2 Year,Yes,26502,26,289,1
155917,Male,43,1,8,0,1-2 Year,Yes,36937,7,169,1
155919,Male,38,1,28,0,1-2 Year,Yes,31277,124,283,1
155924,Female,47,1,28,0,1-2 Year,Yes,36277,122,128,1
155927,Male,48,1,28,0,1-2 Year,Yes,24211,124,132,1
155931,Male,22,1,13,0,< 1 Year,Yes,32237,26,48,1
155955,Female,45,1,50,0,1-2 Year,Yes,36938,26,81,1
155956,Male,24,1,25,0,< 1 Year,Yes,21675,152,136,1
155967,Female,38,1,50,0,1-2 Year,Yes,28244,157,190,1
155968,Female,44,1,28,0,1-2 Year,Yes,69856,26,223,1
156003,Female,34,1,45,0,1-2 Year,Yes,34448,124,163,1
156017,Male,48,1,28,0,1-2 Year,Yes,31264,124,197,1
156022,Male,52,1,36,0,1-2 Year,Yes,35489,156,225,1
156027,Male,52,1,8,0,1-2 Year,Yes,30700,124,75,1
156031,Female,28,1,6,0,1-2 Year,Yes,2630,163,45,1
156043,Female,26,1,3,0,1-2 Year,Yes,19434,163,294,1
156045,Male,36,1,28,0,1-2 Year,Yes,43688,122,75,1
156051,Female,34,1,30,0,1-2 Year,Yes,2630,156,245,1
156071,Male,54,1,28,0,1-2 Year,Yes,52129,59,178,1
156077,Female,22,1,15,0,< 1 Year,Yes,29262,152,56,1
156078,Female,45,1,35,0,1-2 Year,Yes,2630,156,10,1
156079,Male,20,1,33,0,< 1 Year,Yes,2630,156,237,1
156085,Male,51,1,20,0,> 2 Years,Yes,2630,124,26,1
156098,Male,40,1,28,0,1-2 Year,Yes,44029,26,262,1
156113,Male,51,1,4,0,1-2 Year,Yes,2630,154,186,1
156115,Male,47,1,28,0,> 2 Years,Yes,2630,122,68,1
156121,Male,24,1,45,0,< 1 Year,Yes,24450,151,175,1
156122,Female,38,1,18,0,1-2 Year,Yes,28791,26,204,1
156131,Male,31,1,17,0,< 1 Year,Yes,27213,152,245,1
156132,Female,51,1,28,0,1-2 Year,Yes,52895,26,144,1
156141,Male,41,1,18,0,1-2 Year,Yes,2630,163,60,1
156155,Female,50,1,46,0,1-2 Year,Yes,26275,26,161,1
156160,Male,28,1,9,0,< 1 Year,Yes,38147,163,87,1
156161,Male,49,1,28,0,1-2 Year,Yes,37920,26,157,1
156173,Male,20,1,11,0,1-2 Year,Yes,2630,163,44,1
156174,Female,44,1,28,0,> 2 Years,Yes,28364,124,29,1
156182,Male,25,1,10,0,< 1 Year,Yes,32179,152,19,1
156184,Male,32,1,4,0,< 1 Year,Yes,28388,163,288,1
156190,Female,25,1,28,0,< 1 Year,Yes,35548,154,84,1
156201,Male,30,1,28,0,< 1 Year,Yes,34301,124,170,1
156207,Male,39,1,41,0,1-2 Year,Yes,36296,124,242,1
156214,Male,47,1,36,0,> 2 Years,Yes,38062,124,86,1
156225,Male,36,1,28,0,1-2 Year,Yes,42123,122,171,1
156227,Female,68,1,28,0,1-2 Year,Yes,47335,26,62,1
156232,Male,50,1,41,0,1-2 Year,Yes,32543,124,52,1
156233,Female,63,1,20,0,1-2 Year,Yes,2630,16,30,1
156237,Female,43,1,26,0,> 2 Years,Yes,31622,120,86,1
156242,Male,48,1,30,0,1-2 Year,Yes,39210,26,267,1
156243,Female,44,1,24,0,1-2 Year,Yes,47056,124,165,1
156252,Male,41,1,40,0,1-2 Year,Yes,2630,124,76,1
156258,Female,37,1,28,0,1-2 Year,Yes,30596,122,239,1
156276,Female,39,1,28,0,> 2 Years,Yes,50549,26,15,1
156289,Male,41,1,37,0,1-2 Year,Yes,38772,124,33,1
156293,Male,23,1,47,0,< 1 Year,Yes,32908,152,46,1
156307,Male,40,1,28,0,1-2 Year,Yes,40266,124,51,1
156308,Male,55,1,28,0,1-2 Year,Yes,46437,26,170,1
156309,Female,21,1,11,0,< 1 Year,Yes,45937,152,278,1
156317,Female,67,1,46,0,1-2 Year,Yes,37153,11,219,1
156318,Male,56,1,28,0,1-2 Year,Yes,49834,124,295,1
156325,Female,25,1,28,0,< 1 Year,Yes,50736,163,197,1
156327,Female,25,1,28,0,< 1 Year,No,2630,160,150,1
156342,Female,68,1,28,0,1-2 Year,Yes,43657,26,216,1
156344,Female,51,1,28,0,1-2 Year,Yes,31984,26,138,1
156361,Female,22,1,28,0,< 1 Year,Yes,48849,152,70,1
156367,Male,56,1,28,0,> 2 Years,Yes,43235,26,44,1
156387,Female,69,1,11,0,1-2 Year,Yes,22932,124,163,1
156392,Male,55,1,41,0,1-2 Year,Yes,46787,116,286,1
156396,Male,56,1,28,0,> 2 Years,Yes,45983,26,182,1
156397,Male,44,1,46,0,1-2 Year,Yes,25257,124,155,1
156420,Female,51,1,31,0,1-2 Year,Yes,2630,26,239,1
156435,Male,34,1,28,0,1-2 Year,Yes,2630,156,111,1
156467,Female,34,1,17,0,1-2 Year,Yes,41841,26,75,1
156473,Male,42,1,48,0,1-2 Year,Yes,2630,56,276,1
156474,Female,59,1,28,0,> 2 Years,Yes,115554,26,39,1
156482,Male,23,1,28,0,< 1 Year,Yes,32512,26,287,1
156487,Male,22,1,29,0,< 1 Year,Yes,26348,152,190,1
156495,Male,40,1,8,0,1-2 Year,Yes,43023,154,229,1
156499,Male,22,1,11,0,< 1 Year,Yes,32880,152,101,1
156501,Male,36,1,18,0,1-2 Year,Yes,19648,154,280,1
156509,Male,54,1,21,0,1-2 Year,Yes,35311,124,145,1
156524,Female,30,1,28,0,1-2 Year,Yes,38327,124,70,1
156539,Male,44,1,35,0,1-2 Year,Yes,36005,26,179,1
156545,Female,64,1,28,0,1-2 Year,Yes,19114,124,94,1
156549,Female,36,1,28,0,1-2 Year,Yes,29726,124,12,1
156551,Male,43,1,8,0,> 2 Years,Yes,40757,26,65,1
156565,Female,70,1,28,0,1-2 Year,Yes,56407,26,86,1
156571,Male,45,1,11,0,1-2 Year,Yes,28415,26,274,1
156583,Male,31,1,46,0,< 1 Year,Yes,25106,124,11,1
156585,Male,35,1,47,0,> 2 Years,Yes,40600,16,23,1
156591,Male,26,1,49,0,< 1 Year,Yes,38426,26,12,1
156604,Male,60,1,37,0,1-2 Year,Yes,31471,124,171,1
156610,Male,59,1,0,0,1-2 Year,Yes,2630,26,61,1
156618,Female,24,1,28,0,< 1 Year,Yes,36350,152,245,1
156629,Female,53,1,32,0,1-2 Year,Yes,36254,124,13,1
156630,Male,48,1,28,0,> 2 Years,Yes,69346,26,160,1
156637,Female,23,1,21,0,< 1 Year,No,15380,151,27,1
156639,Female,40,1,15,0,1-2 Year,Yes,34404,26,121,1
156643,Male,63,1,28,0,1-2 Year,Yes,51048,122,228,1
156647,Female,60,1,29,0,1-2 Year,Yes,31301,26,196,1
156663,Male,58,1,20,0,> 2 Years,Yes,2630,26,148,1
156665,Male,32,1,31,0,< 1 Year,Yes,2630,152,186,1
156668,Male,53,1,28,0,1-2 Year,No,42300,26,210,1
156674,Male,39,1,28,0,1-2 Year,Yes,35462,26,222,1
156682,Male,59,1,28,0,1-2 Year,Yes,2630,158,30,1
156690,Male,63,1,28,0,1-2 Year,Yes,34483,122,203,1
156697,Female,31,1,28,0,1-2 Year,Yes,27290,26,44,1
156706,Female,38,1,35,0,1-2 Year,Yes,31813,124,136,1
156707,Male,43,1,28,0,1-2 Year,Yes,46881,124,238,1
156717,Male,43,1,46,0,1-2 Year,Yes,2630,124,82,1
156730,Male,49,1,28,0,1-2 Year,Yes,53299,26,70,1
156734,Male,29,1,29,0,< 1 Year,Yes,35372,26,185,1
156740,Male,37,1,30,0,1-2 Year,Yes,2630,152,157,1
156743,Female,41,1,28,0,1-2 Year,Yes,29229,26,165,1
156748,Male,41,1,28,0,1-2 Year,Yes,28377,124,266,1
156751,Male,34,1,3,0,1-2 Year,Yes,24124,124,123,1
156766,Female,33,1,28,0,< 1 Year,Yes,36970,124,229,1
156772,Male,34,1,28,0,< 1 Year,Yes,2630,26,51,1
156787,Male,44,1,46,0,1-2 Year,Yes,39264,124,246,1
156795,Male,47,1,28,0,1-2 Year,Yes,25204,124,105,1
156804,Male,71,1,28,0,1-2 Year,Yes,49857,26,291,1
156828,Female,51,1,28,0,> 2 Years,Yes,42518,124,271,1
156829,Female,55,1,28,0,1-2 Year,Yes,41436,61,214,1
156844,Male,47,1,30,0,1-2 Year,Yes,33469,31,19,1
156845,Male,75,1,28,0,1-2 Year,Yes,33589,30,72,1
156856,Male,61,1,25,0,> 2 Years,Yes,32565,8,285,1
156864,Female,38,1,41,0,1-2 Year,Yes,35092,26,154,1
156865,Male,61,1,11,0,1-2 Year,Yes,36994,26,211,1
156867,Male,41,1,36,0,1-2 Year,Yes,30582,124,147,1
156873,Female,50,1,28,0,1-2 Year,Yes,39042,26,69,1
156874,Female,43,1,46,0,> 2 Years,Yes,28027,26,210,1
156888,Male,53,1,28,0,> 2 Years,Yes,47479,52,14,1
156896,Male,58,1,28,0,1-2 Year,Yes,54290,26,247,1
156907,Male,31,1,28,0,1-2 Year,Yes,2630,124,63,1
156909,Female,46,1,46,0,1-2 Year,Yes,30803,26,255,1
156915,Male,44,1,28,0,1-2 Year,Yes,28079,26,198,1
156948,Male,38,1,28,0,1-2 Year,Yes,2630,124,230,1
156950,Male,59,1,28,0,1-2 Year,Yes,40480,156,212,1
156957,Male,32,1,37,0,1-2 Year,Yes,32500,124,54,1
156971,Male,51,1,26,0,1-2 Year,Yes,46845,30,132,1
156981,Male,51,1,31,0,1-2 Year,Yes,2630,26,128,1
156995,Male,38,1,28,0,1-2 Year,Yes,47484,122,280,1
156997,Female,54,1,43,0,1-2 Year,Yes,2630,26,94,1
157008,Male,30,1,37,0,1-2 Year,Yes,2630,157,32,1
157025,Female,42,1,28,0,1-2 Year,Yes,31327,124,184,1
157033,Male,38,1,41,0,1-2 Year,Yes,40965,124,78,1
157046,Male,69,1,8,0,> 2 Years,Yes,55988,26,100,1
157050,Male,32,1,3,0,< 1 Year,Yes,37968,152,229,1
157056,Female,34,1,32,0,1-2 Year,Yes,2630,157,220,1
157058,Male,32,1,6,0,< 1 Year,Yes,27247,122,223,1
157061,Female,61,1,28,0,1-2 Year,Yes,33727,26,17,1
157073,Female,47,1,28,0,> 2 Years,Yes,43873,26,14,1
157093,Male,30,1,21,0,< 1 Year,Yes,28731,26,186,1
